Gender,10th Mark,12th Mark,hobbies,daily studing time,prefer to study in,Do you want pursue degree?,willingness to pursue a career based on their degree  ,Financial Status,part-time job
Male,79,65,Video Games,0 - 30 minute,Morning,No,50%,Bad,No
Female,70,80,Cinema,30 - 60 minute,Morning,Yes,75%,Bad,No
Male,69.5,61,Cinema,1 - 2 Hour,Anytime,Yes,50%,Bad,No
Female,70,59,Reading books,1 - 2 Hour,Anytime,No,50%,good,No
Male,40,65,Video Games,30 - 60 minute,Morning,Yes,25%,good,No
Female,90,75,Cinema,30 - 60 minute,Night,Yes,50%,good,No
Male,70,63,Reading books,1 - 2 Hour,Morning,Yes,75%,good,No
Male,61.6,61.67,Sports,1 - 2 Hour,Morning,Yes,50%,good,No
Male,88.2,67.5,Video Games,0 - 30 minute,Morning,Yes,75%,Bad,No
Male,60,65,Video Games,0 - 30 minute,Anytime,Yes,75%,good,No
Male,75,70,Video Games,1 - 2 Hour,Morning,Yes,75%,Bad,No
Female,60,55,Cinema,2 - 3 hour,Night,Yes,75%,Bad,No
Female,59,54,Reading books,30 - 60 minute,Morning,Yes,75%,good,No
Male,50,55,Cinema,0 - 30 minute,Anytime,Yes,75%,Awful,No
Male,89.5,69.7,Cinema,30 - 60 minute,Anytime,Yes,75%,good,No
Male,54,48,Video Games,30 - 60 minute,Anytime,Yes,75%,Bad,No
Male,83,76,Sports,1 - 2 Hour,Anytime,Yes,75%,good,Yes
Male,62,61.3,Cinema,0 - 30 minute,Night,Yes,100%,Bad,No
Male,60,65,Cinema,0 - 30 minute,Anytime,Yes,100%,Bad,No
Female,60,70,Cinema,30 - 60 minute,Anytime,Yes,100%,good,No
Male,65,65,Sports,30 - 60 minute,Anytime,Yes,75%,Bad,Yes
Male,65,70,Cinema,1 - 2 Hour,Morning,Yes,50%,Bad,No
Female,78,60,Cinema,1 - 2 Hour,Anytime,Yes,75%,good,No
Male,75,73.8,Video Games,1 - 2 Hour,Morning,Yes,50%,good,No
Male,75,60,Cinema,0 - 30 minute,Anytime,Yes,50%,good,No
Male,60,50,Sports,30 - 60 minute,Morning,Yes,75%,good,Yes
Male,90,90,Cinema,1 - 2 Hour,Anytime,Yes,50%,Bad,No
Male,73,85,Sports,0 - 30 minute,Morning,Yes,100%,good,No
Female,89,77,Sports,30 - 60 minute,Night,Yes,100%,Bad,Yes
Female,94,94,Reading books,30 - 60 minute,Night,Yes,75%,Bad,No
Male,60,65,Sports,0 - 30 minute,Morning,Yes,75%,good,No
Male,78,60,Sports,30 - 60 minute,Anytime,Yes,100%,Bad,No
Male,69,60,Sports,0 - 30 minute,Anytime,Yes,75%,Awful,No
Male,85.6,70,Cinema,1 - 2 Hour,Anytime,Yes,75%,Bad,No
Male,65,60,Video Games,30 - 60 minute,Anytime,Yes,75%,good,No
Male,70,60,Sports,0 - 30 minute,Morning,Yes,50%,Bad,No
Female,85,80,Sports,2 - 3 hour,Anytime,Yes,100%,good,No
Female,90,90,Cinema,0 - 30 minute,Night,Yes,100%,good,No
Male,79,65,Video Games,30 - 60 minute,Morning,Yes,75%,Bad,No
Male,77,87,Video Games,30 - 60 minute,Anytime,No,25%,Bad,No
Female,54,51,Sports,30 - 60 minute,Morning,Yes,50%,good,No
Female,70,55,Reading books,1 - 2 Hour,Night,Yes,75%,good,No
Female,72,80,Cinema,0 - 30 minute,Anytime,Yes,50%,good,No
Male,70,70,Cinema,3 - 4 hour,Anytime,Yes,100%,good,Yes
Male,70,75,Sports,0 - 30 minute,Anytime,Yes,75%,good,Yes
Female,64,88,Sports,1 - 2 Hour,Morning,Yes,25%,good,No
Male,75,75,Sports,30 - 60 minute,Anytime,Yes,75%,good,No
Male,60,82,Video Games,0 - 30 minute,Anytime,Yes,75%,good,No
Male,66,65,Reading books,1 - 2 Hour,Morning,Yes,50%,good,No
Male,73,72,Reading books,1 - 2 Hour,Night,Yes,75%,good,No
Male,62,53,Sports,1 - 2 Hour,Morning,Yes,75%,Awful,Yes
Female,85,88,Sports,1 - 2 Hour,Anytime,Yes,100%,Bad,No
Male,70,80,Reading books,More Than 4 hour,Anytime,Yes,100%,good,No
Female,98,80,Reading books,1 - 2 Hour,Anytime,Yes,100%,Bad,No
Female,86,78,Reading books,1 - 2 Hour,Anytime,Yes,75%,good,No
Male,87,84,Sports,30 - 60 minute,Morning,Yes,75%,Bad,No
Female,82,70,Reading books,2 - 3 hour,Morning,Yes,100%,Bad,Yes
Female,80,60,Sports,1 - 2 Hour,Morning,Yes,75%,good,No
Female,93.6,85,Sports,1 - 2 Hour,Anytime,Yes,100%,good,No
Male,90,80,Sports,3 - 4 hour,Anytime,Yes,75%,Bad,Yes
Female,88,81,Cinema,30 - 60 minute,Morning,Yes,75%,good,No
Female,87,78,Cinema,30 - 60 minute,Morning,Yes,75%,good,No
Male,70,70,Cinema,More Than 4 hour,Anytime,Yes,100%,Bad,Yes
Male,89,69,Sports,30 - 60 minute,Anytime,No,25%,Awful,Yes
Male,70,60,Video Games,0 - 30 minute,Anytime,Yes,50%,good,No
Male,95,90,Cinema,1 - 2 Hour,Morning,Yes,75%,good,Yes
Female,80,75,Reading books,2 - 3 hour,Morning,Yes,75%,good,No
Male,90,62,Reading books,30 - 60 minute,Night,Yes,75%,Bad,No
Male,84,65,Cinema,1 - 2 Hour,Night,Yes,75%,good,No
Male,50,50,Reading books,30 - 60 minute,Night,Yes,75%,good,No
Male,91,60,Sports,30 - 60 minute,Anytime,Yes,25%,Bad,Yes
Female,84,64,Sports,2 - 3 hour,Anytime,Yes,50%,good,No
Female,87,75,Cinema,0 - 30 minute,Anytime,No,25%,Bad,No
Male,89.8,63.3,Sports,0 - 30 minute,Anytime,Yes,50%,good,No
Male,89,69,Video Games,3 - 4 hour,Morning,Yes,75%,good,Yes
Male,75,55,Sports,30 - 60 minute,Morning,Yes,75%,good,No
Female,93,66,Reading books,1 - 2 Hour,Anytime,Yes,100%,good,No
Male,92,69,Cinema,1 - 2 Hour,Night,Yes,75%,good,No
Male,88,58,Sports,30 - 60 minute,Night,Yes,75%,Fabulous,No
Male,88,70,Reading books,30 - 60 minute,Anytime,No,50%,Awful,No
Female,7.4,79,Sports,1 - 2 Hour,Night,Yes,75%,Bad,No
Female,75,70,Cinema,More Than 4 hour,Anytime,Yes,75%,good,No
Male,80,70,Sports,0 - 30 minute,Morning,Yes,75%,Bad,No
Male,81.4,69,Cinema,30 - 60 minute,Anytime,No,100%,Awful,Yes
Male,78,55,Reading books,3 - 4 hour,Anytime,Yes,100%,good,Yes
Male,60,60,Cinema,30 - 60 minute,Morning,Yes,75%,Bad,No
Female,75,64,Cinema,0 - 30 minute,Anytime,No,25%,good,No
Female,90.2,61.6,Video Games,1 - 2 Hour,Anytime,Yes,75%,good,No
Male,80,62,Sports,30 - 60 minute,Night,Yes,75%,Awful,No
Male,86.5,65.3,Sports,0 - 30 minute,Morning,Yes,75%,good,No
Female,88.8,71,Cinema,3 - 4 hour,Morning,Yes,100%,good,No
Male,90,75,Sports,2 - 3 hour,Night,Yes,50%,good,No
Male,85,61,Reading books,2 - 3 hour,Anytime,Yes,50%,good,No
Male,76,70,Sports,1 - 2 Hour,Morning,No,50%,good,No
Male,80,70,Cinema,3 - 4 hour,Night,No,100%,good,Yes
Male,91,73.3,Sports,30 - 60 minute,Morning,Yes,100%,good,No
Female,85,90,Cinema,30 - 60 minute,Anytime,Yes,100%,Awful,No
Male,80,60,Sports,2 - 3 hour,Night,Yes,75%,good,No
Male,85.8,63.66,Sports,0 - 30 minute,Anytime,Yes,75%,good,No
Male,80,70,Video Games,0 - 30 minute,Anytime,Yes,25%,good,No
Female,75,50,Sports,0 - 30 minute,Night,Yes,50%,Bad,No
Female,95,75,Reading books,2 - 3 hour,Anytime,Yes,50%,good,No
Female,95,85,Reading books,1 - 2 Hour,Night,Yes,50%,good,No
Male,90,64,Reading books,30 - 60 minute,Anytime,Yes,75%,Bad,No
Male,79.4,61.33,Sports,1 - 2 Hour,Anytime,Yes,75%,Bad,No
Male,90,74,Cinema,30 - 60 minute,Anytime,Yes,75%,Bad,No
Male,77,70,Video Games,2 - 3 hour,Anytime,Yes,75%,good,No
Male,80,60,Video Games,0 - 30 minute,Anytime,Yes,50%,Bad,No
Male,90,57,Reading books,1 - 2 Hour,Anytime,Yes,100%,Bad,No
Male,84,63,Sports,0 - 30 minute,Morning,Yes,50%,Bad,No
Male,86,68,Sports,30 - 60 minute,Anytime,Yes,100%,Bad,Yes
Female,94,69,Cinema,30 - 60 minute,Anytime,Yes,50%,good,No
Male,69,54,Cinema,30 - 60 minute,Anytime,Yes,50%,good,No
Male,85,64,Cinema,0 - 30 minute,Morning,No,75%,Bad,No
Male,88,88,Reading books,1 - 2 Hour,Anytime,No,50%,Awful,Yes
Male,85,50,Video Games,30 - 60 minute,Anytime,Yes,75%,Bad,No
Male,69,60,Video Games,0 - 30 minute,Night,Yes,100%,good,No
Male,85,60,Sports,30 - 60 minute,Anytime,Yes,75%,good,No
Male,85,72,Sports,1 - 2 Hour,Anytime,No,50%,Bad,Yes
Male,70,78,Cinema,0 - 30 minute,Anytime,Yes,75%,good,No
Female,72,75,Reading books,2 - 3 hour,Night,Yes,75%,good,Yes
Male,80,60,Video Games,30 - 60 minute,Night,Yes,100%,good,No
Male,60,68.1,Sports,30 - 60 minute,Morning,Yes,75%,Bad,Yes
Male,84,55,Video Games,30 - 60 minute,Anytime,Yes,75%,good,No
Female,72.6,62.6,Cinema,0 - 30 minute,Night,Yes,100%,good,No
Female,91,86,Cinema,30 - 60 minute,Morning,Yes,75%,good,No
Male,90,65,Sports,0 - 30 minute,Anytime,Yes,75%,Bad,No
Male,78,67,Cinema,3 - 4 hour,Anytime,Yes,100%,good,No
Male,91,81,Reading books,30 - 60 minute,Anytime,Yes,75%,Bad,No
Male,82,55,Cinema,30 - 60 minute,Anytime,Yes,50%,Bad,No
Male,80.5,53,Sports,2 - 3 hour,Morning,Yes,75%,Awful,No
Male,75,57,Sports,0 - 30 minute,Morning,Yes,50%,good,No
Male,75,68,Sports,0 - 30 minute,Anytime,Yes,75%,good,No
Male,90,85,Cinema,1 - 2 Hour,Anytime,Yes,50%,good,No
Male,85,60,Video Games,2 - 3 hour,Anytime,Yes,50%,good,No
Female,84.2,64.8,Sports,30 - 60 minute,Anytime,Yes,75%,good,No
Male,91.4,65.5,Cinema,0 - 30 minute,Morning,Yes,75%,good,No
Male,86,72,Reading books,More Than 4 hour,Morning,No,75%,Bad,No
Female,85,55,Video Games,2 - 3 hour,Anytime,Yes,75%,good,Yes
Female,80,60,Sports,30 - 60 minute,Anytime,Yes,75%,good,No
Male,78,58,Sports,0 - 30 minute,Morning,No,0%,good,No
Male,75,65,Sports,30 - 60 minute,Morning,Yes,50%,good,No
Male,80,60,Sports,1 - 2 Hour,Night,Yes,50%,good,No
Male,90,70,Reading books,30 - 60 minute,Morning,No,25%,Bad,Yes
Female,80,88,Sports,2 - 3 hour,Anytime,Yes,100%,good,No
Male,75,90,Sports,More Than 4 hour,Anytime,Yes,100%,Bad,No
Male,50,50,Cinema,0 - 30 minute,Night,Yes,25%,Fabulous,Yes
Female,71.2,79.5,Cinema,30 - 60 minute,Anytime,Yes,50%,Bad,No
Female,80.2,70,Reading books,More Than 4 hour,Morning,No,50%,Bad,No
Female,85,63,Sports,30 - 60 minute,Night,Yes,75%,Bad,No
Male,90.2,72.8,Video Games,1 - 2 Hour,Morning,Yes,75%,Bad,No
Male,61.8,68.3,Sports,2 - 3 hour,Morning,Yes,50%,good,No
Male,80,69,Sports,30 - 60 minute,Morning,Yes,50%,good,No
Female,79,61,Cinema,1 - 2 Hour,Night,Yes,50%,Awful,No
Female,64,49.5,Reading books,2 - 3 hour,Night,Yes,75%,Bad,No
Female,86,68,Video Games,2 - 3 hour,Anytime,Yes,75%,Bad,No
Male,71,66,Video Games,30 - 60 minute,Morning,Yes,75%,good,No
Female,80,73,Cinema,0 - 30 minute,Anytime,Yes,75%,Bad,Yes
Male,50,50,Sports,3 - 4 hour,Morning,Yes,75%,Bad,No
Male,65,75,Cinema,0 - 30 minute,Anytime,Yes,50%,good,Yes
Male,90,80,Sports,1 - 2 Hour,Morning,No,25%,Bad,No
Male,85,91,Video Games,30 - 60 minute,Morning,Yes,25%,Bad,No
Male,75,70,Video Games,30 - 60 minute,Morning,Yes,75%,good,Yes
Male,82,78,Reading books,1 - 2 Hour,Anytime,Yes,100%,Bad,Yes
Male,84,85,Cinema,30 - 60 minute,Anytime,Yes,100%,Bad,No
Male,91,83.5,Video Games,1 - 2 Hour,Night,Yes,50%,good,No
Female,92,75,Cinema,3 - 4 hour,Anytime,Yes,100%,good,No
Male,75,75,Sports,30 - 60 minute,Anytime,Yes,75%,good,No
Male,90,80,Cinema,3 - 4 hour,Anytime,Yes,75%,good,No
Male,81,64,Sports,1 - 2 Hour,Anytime,Yes,50%,good,No
Female,70,71,Sports,1 - 2 Hour,Anytime,Yes,75%,Fabulous,No
Male,70,60,Sports,2 - 3 hour,Morning,Yes,50%,Bad,Yes
Female,93,86,Cinema,30 - 60 minute,Morning,Yes,50%,Bad,No
Female,76,63,Sports,30 - 60 minute,Night,Yes,75%,good,Yes
Male,60,79,Cinema,30 - 60 minute,Morning,Yes,0%,Bad,No
Male,83.7,76.77,Sports,30 - 60 minute,Night,Yes,75%,Bad,No
Female,76,76,Sports,3 - 4 hour,Anytime,Yes,100%,Bad,No
Female,70,50,Cinema,1 - 2 Hour,Night,Yes,50%,Bad,No
Female,91,70,Cinema,1 - 2 Hour,Anytime,Yes,50%,Awful,No
Female,80,75,Cinema,1 - 2 Hour,Morning,Yes,50%,Bad,No
Female,60,60,Cinema,30 - 60 minute,Morning,Yes,75%,Bad,No
Male,60,77,Video Games,30 - 60 minute,Night,Yes,50%,Bad,Yes
Female,60,70,Sports,0 - 30 minute,Night,Yes,25%,Bad,No
Male,54,65,Cinema,0 - 30 minute,Anytime,Yes,100%,good,No
Male,46,48,Sports,1 - 2 Hour,Anytime,Yes,50%,Bad,No
Male,76,47,Cinema,0 - 30 minute,Morning,Yes,50%,Awful,No
Male,70,60,Sports,30 - 60 minute,Morning,Yes,75%,Bad,No
Male,56,57,Sports,30 - 60 minute,Night,Yes,75%,good,No
Male,67,70,Sports,More Than 4 hour,Anytime,Yes,100%,good,No
Male,75,79,Reading books,1 - 2 Hour,Morning,Yes,50%,Awful,No
Male,65,70,Video Games,30 - 60 minute,Night,Yes,75%,good,No
Male,86,86,Video Games,30 - 60 minute,Anytime,Yes,50%,good,No
Male,70,67,Video Games,1 - 2 Hour,Anytime,Yes,100%,good,No
Male,60,52,Video Games,1 - 2 Hour,Night,Yes,50%,Bad,No
Female,60,60,Cinema,30 - 60 minute,Morning,Yes,75%,good,No
Male,50,50,Cinema,30 - 60 minute,Night,Yes,75%,good,Yes
Female,45,45,Sports,3 - 4 hour,Night,No,75%,good,No
Male,67,54,Cinema,30 - 60 minute,Morning,Yes,100%,good,No
Male,79,62,Cinema,1 - 2 Hour,Morning,Yes,75%,good,No
Male,60,50,Sports,1 - 2 Hour,Anytime,Yes,75%,Bad,No
Male,50,50,Reading books,1 - 2 Hour,Anytime,Yes,75%,good,Yes
Male,80,70,Cinema,1 - 2 Hour,Anytime,Yes,75%,Bad,Yes
Female,96,92,Cinema,3 - 4 hour,Morning,Yes,75%,good,No
Male,76,83,Cinema,30 - 60 minute,Morning,Yes,50%,Bad,No
Male,55,50,Sports,0 - 30 minute,Morning,Yes,50%,Bad,No
Male,89,79,Sports,30 - 60 minute,Morning,Yes,75%,Bad,No
Female,95.6,86,Cinema,1 - 2 Hour,Anytime,Yes,75%,good,No
Male,60,60,Sports,2 - 3 hour,Night,Yes,50%,good,Yes
Male,81,80,Cinema,30 - 60 minute,Night,Yes,50%,Fabulous,Yes
Male,84,76,Video Games,30 - 60 minute,Anytime,Yes,75%,Bad,Yes
Female,80,60,Sports,1 - 2 Hour,Night,Yes,75%,good,No
Male,75,65,Cinema,1 - 2 Hour,Morning,Yes,75%,good,No
Female,90.4,80,Cinema,1 - 2 Hour,Anytime,Yes,75%,good,No
Male,85,75,Sports,More Than 4 hour,Anytime,Yes,75%,Bad,Yes
Female,93.8,83.5,Reading books,1 - 2 Hour,Morning,Yes,75%,good,Yes
Female,78,75,Sports,2 - 3 hour,Anytime,Yes,100%,good,No
Female,75,85,Cinema,2 - 3 hour,Anytime,Yes,75%,good,No
Female,85,74,Cinema,0 - 30 minute,Anytime,Yes,75%,good,No
Male,88,85,Sports,30 - 60 minute,Morning,Yes,75%,good,No
Male,90,73,Cinema,30 - 60 minute,Morning,Yes,100%,Bad,No
Male,85,80,Cinema,30 - 60 minute,Anytime,Yes,100%,Bad,No
Female,83,73,Cinema,0 - 30 minute,Morning,Yes,75%,good,No
Male,85,80,Sports,30 - 60 minute,Night,Yes,75%,Bad,No
Male,82,73,Cinema,0 - 30 minute,Anytime,Yes,50%,Bad,No
Female,97,80,Reading books,3 - 4 hour,Morning,Yes,100%,good,Yes
Female,80,89,Reading books,2 - 3 hour,Morning,Yes,100%,good,No
Female,93,85,Reading books,1 - 2 Hour,Night,Yes,75%,good,No
Male,55,57,Sports,30 - 60 minute,Anytime,Yes,25%,Bad,No
Male,75,75,Sports,1 - 2 Hour,Anytime,Yes,100%,good,No
Female,60,70,Sports,1 - 2 Hour,Anytime,Yes,75%,Bad,No
Male,72,67,Video Games,30 - 60 minute,Morning,Yes,50%,Bad,No
Male,72,70,Cinema,2 - 3 hour,Anytime,Yes,75%,good,No
Female,90,75,Cinema,30 - 60 minute,Night,Yes,50%,good,No
Female,85,74,Cinema,0 - 30 minute,Anytime,Yes,75%,good,No
Female,45,45,Sports,3 - 4 hour,Night,No,75%,good,No
